Label;Id;Group;followersCount
RLadiesMAD;318;1;NA
RLadiesManchest;234;1;NA
RLadiesMelb;309;1;NA
RLadiesMunich;178;1;NA
RLadiesMza;18;1;NA
RLadiesNash;312;1;NA
RLadiesNatal;124;1;NA
RLadiesNYC;253;1;NA
RLadiesOrlando;153;1;NA
RLadiesPDX;136;1;NA
RLadiesRio;101;1;NA
RLadiesSF;290;1;NA
RLadiesTampa;38;1;NA
RLadiesTbilisi;235;1;NA
RLadiesTC;98;1;NA
RLadiesTucson;87;1;NA
RLadiesVan;73;1;NA
RLesur;62;2;NA
rmemestats;78;2;NA
rmnppt;1;2;NA
RosanaFerrero;113;3;NA
RStudioJoe;288;2;NA
runimoko;121;3;NA
rushadFaridi;66;1;NA
S_Owla;44;3;NA
sabrinajmayer;105;3;NA
SamOoonoo779;261;3;NA
SanaBRK;122;3;NA
sanasrk0199;248;3;NA
Sanemavcil;146;3;NA
SanghaChick;202;1;NA
ScientistSMC;26;1;NA
SeedGym;97;4;NA
shankargopal89;108;1;NA
Sheffield_R_;240;2;NA
SherlockpHolmes;175;2;NA
SilviculturaFCF;145;3;NA
SK_convergence;63;1;NA
slideroolz;165;1;NA
smgdk;283;3;NA
SoroorHediyeh;229;4;NA
Souq4Analytics;287;2;NA
SSNAR17;181;2;NA
StacyRecalla;48;3;NA
startpunkt;123;3;NA
statredd;269;2;NA
StefanieButland;297;2;NA
Steffi_Giersz;159;3;NA
stejc;255;3;NA
StephdeSilva;286;2;NA
Stevethomasgb;17;2;NA
sthenes;117;3;NA
stoekkane;102;2;NA
Subbu56715036;100;3;NA
SupplyR;203;2;NA
SuzanBaert;75;2;NA
T_Weissgerber;271;3;NA
Tatjana_Kec;60;1;NA
TeresaOM;137;3;NA
thinkR_fr;227;2;NA
thiyangt;27;3;NA
timelyportfolio;40;2;NA
TimRadtke;305;2;NA
tobi_yox;164;3;NA
tobmaster;149;3;NA
toridykes;93;3;NA
ursulaxanadu;52;3;NA
vaishalisvp;92;3;NA
vbern;112;1;NA
Verynace;22;1;NA
vikesh_koul;143;2;NA
vilsurr;154;4;NA
VivienGreiwe;266;3;NA
VogtVerena;8;3;NA
VPannabecker;232;4;NA
VUmulisa;45;3;NA
wanaw_bln;46;3;NA
webster_neal;141;1;NA
wendydevolder;200;3;NA
whyRconf;37;1;NA
WiDS_Conference;258;4;NA
wimlds;296;4;NA
WiMLworkshop;280;4;NA
WireMonkey;74;1;NA
WomenAffinity;196;1;NA
WomenEPN;217;4;NA
WomenInDataNYC;274;4;NA
WWCodeBerlin;262;3;NA
yarishj;106;3;NA
ytyeh;308;3;NA
zabormetrics;139;2;NA
zaziemo;125;3;NA
ZazzValette;7;2;NA
Zofiathewitch;233;2;NA
zumkley;4;1;NA
ZurichRUsers;239;2;NA
zzeynepersoy;195;3;NA
